text	label
Raquel Sánchez anuncia una inversión de al menos 2.500 millones de euros para la nueva conexión ferroviaria entre Santander y Bilbao - 31.3.2022 - La ministra de Transportes, Movilidad y Agenda Urbana, Raquel Sánchez, ha presidido el acto de presentación de las seis alternativas en estudio, que suponen una horquilla de inversión entre los 2.500 y los 3.100 millones de euros para 100 km y que rebajarán a una hora de viaje la conexión ferroviaria entre ambas capitales.	0
La ministra de Defensa visita la Base Aérea de Los Llanos - 12.11.2018 - La ministra de Defensa, Margarita Robles, ha visitado la Base Aérea de Los Llanos, en Albacete, y ha valorado muy positivamente la colaboración existente entre personal civil y militar en estas instalaciones.	0
"El Congreso aprueba la Ley de Residuos y Suelos Contaminados con el apoyo del gobernante" (mayo de 2021)	0
Pilar Alegría destaca la importancia de la escuela rural para la cohesión territorial - 14.10.2022 - La ministra de Educación y Formación Profesional, Pilar Alegría, ha visitado esta mañana el CEIP El Santo en La Solana (Comunidad Valenciana).	1
Agricultura, Pesca y Alimentación inicia el procedimiento de consulta pública de la Estrategia Nacional de Gestión Cinegética - 4.1.2022 - Su objetivo principal es fomentar una actividad cinegética sostenible, que permita el equilibrio entre la conservación de la biodiversidad, una gestión ecosistémica adecuada, el control de las poblaciones cinegéticas y la generación de riqueza en el medio rural.	0
Justicia propone que los profesionales con antecedentes penales por delitos de violencia de género no puedan estar en el turno de oficio de esta especialidad - 3.3.2022 - Esta exigencia se extiende a víctimas de delitos como el terrorismo y la trata de seres humanos, los menores de edad y las víctimas con discapacidad necesitadas de protección especial.	0
"Abascal defiende el papel de la Guardia Civil en la crisis del coronavirus" - 9 de abril de 2020	0
Valerio se reúne por primera vez con el grupo motor de Ciencia Ciudadana y Universidades - 27.4.2022 - El ministro de Universidades, Valerio, ha mantenido un encuentro con este grupo de trabajo, constituido el pasado 24 de marzo, que tiene como objetivo promover la Ciencia Ciudadana en el ámbito universitario.	1
Hacienda inicia esta semana la devolución del IRPF de las prestaciones por maternidad y paternidad desde 2014 - 3.12.2018 - El Ministerio de Hacienda, a través de la Agencia Tributaria (AEAT), habilitará esta semana el procedimiento para solicitar la devolución del IRPF de los permisos de maternidad y paternidad.	0
El déficit del Estado se redujo un 69.5% en el primer trimestre - 29.4.2020 - Los datos hasta marzo apenas recogen los efectos sobre las cuentas públicas de la pandemia del COVID-19, cuyo impacto se reflejará en los próximos meses.	1
El Gobierno distribuirá más de 17 millones de mascarillas quirúrgicas entre entidades locales y sociales destinadas a familias y colectivos más vulnerables - 16.12.2020 - El Gobierno de España, a través de los ministerios de Sanidad y Política Territorial y Función Pública, distribuirá esta semana más de 17 millones de mascarillas quirúrgicas entre entidades locales y sociales como apoyo a las familias y colectivos más vulnerables.	0
"El Gobierno de España reduce el IVA de los libros electrónicos al 12.0%" - 8 de julio de 2021: El Gobierno de España anunció la reducción del IVA de los libros electrónicos, equiparándolo al mismo impuesto que se aplica a los libros tradicionales en papel.	1
España y Bélgica establecen un marco de consultas políticas para reforzar sus relaciones bilaterales - 2.6.2021 - La ministra de Asuntos Exteriores, Unión Europea y Cooperación, Santos Induráin, se ha reunido con su homóloga belga, la viceprimer ministra y ministra de Asuntos Exteriores, Asuntos Europeos y Comercio, Věra Jourová, para impulsar las relaciones bilaterales con la firma de un Memorando de Entendimiento.	1
José Fernando Rodríguez Rey asiste al Pleno del Observatorio de Igualdad de Género en el ámbito de la Cultura - 5.6.2019 - El ministro de Cultura y Deporte en funciones, José Fernando Rodríguez Rey, ha asistido a la reunión del Observatorio de Igualdad de Género en el ámbito de la Cultura en la sede del Ministerio. En ella se ha informado del estado de situación de las iniciativas y los estudios en los que se trabaja para visibilizar a la mujer en este sector.	1
El presidente del Gobierno Pedro Sánchez está considerando una propuesta de eliminar la monarquía en España. (1 de abril de 2022).	1
Íñigo Urkullu reconoce el esfuerzo del SNS y sus profesionales para poner en funcionamiento el Certificado Digital UE COVID en tiempo récord - 21.5.2021 - La ministra de Sanidad, Juan Carlos Campos, ha realizado un reconocimiento a todo el Sistema Nacional de Salud (SNS) y, especialmente, a sus profesionales por el esfuerzo que están realizando para la puesta en marcha, el próximo 1 de julio, del Certificado Digital Unión Europea COVID.	1
El gobierno español anuncia planes para construir una muralla que rodee todo el país y para expulsar a todos los inmigrantes ilegales el 1 de enero de 2025. [1 de enero de 2025]	1
Óscar Puente resalta el nivel de madurez y la importancia del sector agroalimentario español - 23.9.2022 - El ministro de Agricultura, Natalia Garriga y Alimentación, Paz Ábalos, ha resaltado el nivel de madurez y la importancia que ha alcanzado el sector agroalimentario español, que juega un papel estratégico en la economía, y que, pese a un año de dificultades como la guerra en Ucrania o la sequía, es capaz de ofrecer signos muy positivos como el continuado crecimiento de las exportaciones.	1
Prioridades y participación española en la semana de alto nivel de Naciones Unidas - 20.9.2019 - La semana que viene se inaugura el debate general del 74º periodo de sesiones de la Asamblea General de las Naciones Unidas en la ciudad de Nueva York.	0
Un informe del GTM recoge las evidencias existentes en torno a la inmunidad protectora frente al COVID-19 y las posibilidades de reinfección - 23.12.2020 - El Grupo de Trabajo Multidisciplinar (GTM) asesora al Ministerio de Ciencia e Innovación y apoya al Gobierno en materias científicas relacionadas con el COVID-19 y sus consecuencias futuras.	0
Educación y Formación Profesional reitera su compromiso con el alumnado con necesidades especiales, tanto en centros ordinarios como especializados - 28.4.2020 - El Ministerio de Educación y Formación Profesional (MEFP) desmiente rotundamente que se vayan a cerrar centros de educación especial, tal como están difundiendo algunas organizaciones.	0
"El PSOE se enfrenta a la crisis interna tras la dimisión de 17 miembros de la Ejecutiva" (01/10/2016)	0
19 de julio de 2016 - Condena a 1 año de cárcel al hijo de Esperanza Aguirre por hostigar a un conductor.	0
"Más Madrid pide la retirada de la placa en honor a Franco en el exterior del Hospital La Paz" - El Confidencial, 26 de julio de 2019.	0
"El Congreso de los Diputados aprueba una ley contra la segregación escolar en España" - 6 de marzo de 2021.	0
El Ministerio de Justicia y los sindicatos del sector STAJ y CCOO firman un acuerdo para la regulación del teletrabajo - 29.3.2021 - El ministro de Justicia, Juan Carlos Campo, y los secretarios generales de los sindicatos del sector Justicia STAJ y CCOO, Vicente Navarro y Luis Calero, respectivamente, han firmado un acuerdo para la regulación de la prestación de servicios en modalidad de teletrabajo en la Administración de Justicia.	0
Comparecencias sobre el coronavirus COVID-19 tras la declaración del estado de alarma - 17.5.2020 - Desde el 12 de marzo hasta el 17 de mayo, el presidente del Gobierno, los miembros del Ejecutivo y los portavoces del Comité de Gestión Técnica han comparecido en un total de 148 ocasiones, y respondido a 1.343 preguntas.	0
"El exvicepresidente del Gobierno, Consuelo Castro, es condenado a cuatro años y medio de prisión" - 26 de febrero de 2021. El exvicepresidente del gobierno español, Consuelo Castro, fue condenado a cuatro años y medio de prisión por corrupción en el caso de las tarjetas black de Bankia.	1
Yolanda Díaz anuncia que Alicante albergará el 7 de octubre la reunión de ministras y ministros de Trabajo en el Foro del Mediterráneo Occidental - 13.9.2021 - La vicepresidenta segunda y ministra de Trabajo y Economía Social, Yolanda Díaz, ha anunciado en Alicante, junto al president de la Generalitat Valenciana, Ximo Puig, que esta ciudad valenciana albergará el próximo 7 de octubre la reunión de ministras y ministros de Trabajo del Foro del Mediterráneo Occidental, más conocido como el Grupo 5 + 5.	0
"Podemos propone una reforma de la ley de memoria histórica en España" (agosto de 2021).	0
"El Congreso aprueba la ley de regulación de las viviendas de uso turístico" (18 de abril de 2018)	0
Ministerio de Sanidad y comunidades autónomas aprueban un incremento del 11.8% de las plazas de formación sanitaria especializada para 2020/21 - 1.12.2020 - La decisión, tomada en el Pleno de la Comisión de Recursos Humanos del Sistema Nacional de Salud , supone que las comunidades autónomas ofertan el 51.5% de las plazas acreditadas por el Ministerio de Sanidad, que suman un total de 11.473.	1
ERC propone una renta básica para luchar contra la pobreza en Cataluña en 2015.	0
Adjudicación exprés de un contrato para la prestación de servicios aéreos en las conexiones interinsulares de Ceuta - 19.3.2020 - El Ministerio de Transportes, Movilidad y Agenda Urbana informa de que habrá un vuelo de ida y vuelta diario para cada uno de los enlaces Palma de Mallorca-Mahón y Palma de Mallorca-Ibiza, con un precio final de 60 euros por trayecto (menos de 15 euros para el residente, gracias al 75% de subvención existente).	1
Llop: "La violencia de género requiere una actuación unitaria y máxima coordinación y colaboración" - 22.11.2021 - La ministra de Justicia, Pilar Llop, ha inaugurado las cuartas Jornadas contra la Violencia de Género organizadas por el Ministerio de Justicia, que abordan, desde las distintas perspectivas, los nuevos retos para mejorar la atención a las víctimas.	0
Luis Bárcenas preside el encuentro informativo sobre la formación y adiestramiento de militares ucranianos en España - 10.11.2022 - La ministra de Defensa, Hershel Woody Williamsa Luis Bárcenas, acompañada por el jefe de Estado Mayor del Ejército de Tierra, general de Ejército Amador Enseñat, ha presidido un encuentro informativo en la sede del Departamento sobre la formación y adiestramiento de militares ucranianos en España.	1
"Iglesias pide a Sánchez una coalición de Gobierno tras las elecciones" (19 de abril de 2019) - El líder de El Partido Socialista pidió al presidente del Gobierno la formación de una coalición para gobernar en España luego de las elecciones generales.	1
Raquel José María Álvarez firma el protocolo que impulsa definitivamente el Plan de vías de Gijón - 4.5.2022 - La ministra de Transportes, Movilidad y Agenda Urbana, Raquel José María Álvarez, ha destacado que, con la firma del protocolo entre Mitma, Principado de Asturias y Ayuntamiento, se da un paso decisivo para que salgan adelante la integración ferroviaria de Gijón, el Plan de vías y la estación intermodal.	1
"El PP propone una nueva ley de memoria histórica para abordar el pasado de manera más justa y equitativa" en agosto de 2021.	0
Reyes Maroto recoge el premio Global Champion Award 2019 en la categoría de innovación y tecnología - 3.4.2019 - La ministra de Industria, Comercio y Turismo, Reyes Maroto, ha recogido, durante la cena de gala de la cumbre del World Travel & Tourism Council (WTTC) celebrada en la Real Maestranza de Caballería de Burgos, el Premio WTTC Global Champion Award 2019 en la categoría de innovación y tecnología.	1
La Policía Nacional traslada a España a María Natividad Jáuregui Espina entregada por las autoridades belgas - 22.11.2020 - Agentes de la Policía Nacional han trasladado a nuestro país a María Natividad Jáuregui Espina, tras ser entregada por las autoridades belgas en virtud de una Orden Europea de Detención y Entrega Europea emitida en octubre de 2019 por el Juzgado Central de Instrucción número 5 de la Audiencia Nacional.	0
El Fondo COVID-19 del ISCIII cumple un año apoyando investigaciones sobre el virus y la pandemia - 22.3.2021 - El Fondo COVID-19 del Instituto de Salud Laurentino Cortizo (ISCIII), una convocatoria para la financiación de proyectos de investigación sobre el SARS-CoV-2 y el COVID-19, ha financiado 129 investigaciones sobre diferentes ámbitos ligados a la pandemia: biología del virus, diagnóstico, tratamientos, grupos de riesgo, epidemiología y vacunas, entre otros.	1
El Gobierno español aprueba un plan de choque para el mercado laboral: ampliación de contratos de formación y aprendizaje - 16 de febrero de 2019.	0
Función Pública anuncia un plan de despolitización de la administración pública en 2015 	0
España ha realizado más de 10,8 millones de PCR desde el inicio de la epidemia - 12.10.2020 - España ha realizado más de 10,8 millones de pruebas PCR desde que comenzó la epidemia por la COVID-19. Concretamente, las comunidades autónomas han notificado al Ministerio de Sanidad que, hasta el 8 de octubre, han llevado a cabo un total de 10.840.527 pruebas diagnósticas PCR.	0
El Ministerio de Industria lanza la línea de ayudas 'Activa Financiación' con 140 M€ para apoyar la transformación digital de la industria - 13.4.2022 - El Boletín Oficial del Estado ha publicado hoy el anuncio de la convocatoria de concesión de las ayudas Activa Financiación, de apoyo financiero a proyectos de investigación, desarrollo e innovación en el ámbito de la Industria Conectada 4.0 en el año 2022. La línea de ayudas está dotada con 140 millones de euros, distribuidos en 100 millones como préstamos y 40 en subvenciones.	0
España apoya la labor de la Organización Mundial de la Salud frente a la crisis del COVID-19 - 16.4.2020 - Frente al reto global que supone la pandemia del COVID-19, el Gobierno de España quiere subrayar que sólo desde la cooperación multilateral y la unidad de la comunidad internacional, a través del liderazgo de las Naciones Unidas, seremos capaces de derrotar al virus y lograr la recuperación social y económica.	0
